code_insee,commune,prix_m2_maison,prix_m2_appartement,nb_ventes_maison,nb_ventes_appartement,source,updated_at
"446","446",2299.40,3159.09,140,65,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"425","425",2040.62,3137.23,160,44,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"336","336",1730.34,2118.64,192,11,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"516","516",1683.58,3155.32,151,52,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"570","570",2062.50,2954.55,151,49,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"527","527",3347.33,3356.67,134,65,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"582","582",2234.16,3455.62,125,74,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"471","471",1963.59,3380.34,138,58,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"418","418",1986.84,4146.67,134,61,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"468","468",2076.14,2926.12,122,73,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"585","585",2000.00,2216.01,103,92,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"482","482",2421.20,1830.56,150,44,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"572","572",3187.63,3921.31,104,88,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"369","369",1983.58,5931.25,177,14,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"580","580",2062.00,1825.71,157,34,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"402","402",1998.30,1172.12,145,45,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"520","520",2020.90,2081.76,120,70,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"477","477",2432.53,3644.16,100,90,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"549","549",3050.51,2981.25,129,60,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"509","509",2134.83,2026.50,121,68,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"548","548",2054.77,3622.43,100,88,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"391","391",1706.77,1286.67,170,17,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"379","379",1950.00,2179.89,135,52,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"758","758",2158.52,2084.14,134,51,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"393","393",1927.23,1974.07,164,19,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"426","426",2349.26,2725.49,142,39,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"553","553",2500.00,2755.32,146,35,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"417","417",2282.83,2461.18,149,30,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"429","429",2139.68,2686.11,160,18,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"478","478",1981.10,1428.57,99,79,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"467","467",1913.58,2655.65,114,64,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"528","528",1827.19,1372.64,140,36,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"433","433",2486.90,2288.46,157,19,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"561","561",2040.54,2687.50,131,45,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"419","419",1900.60,3617.42,147,26,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"357","357",1897.89,1911.76,140,33,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"414","414",1927.08,1815.18,137,36,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"499","499",2046.51,2165.18,147,26,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"400","400",1685.86,3128.72,152,18,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"479","479",1958.76,3619.05,129,41,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"320","320",2177.29,2320.28,142,26,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"476","476",2166.09,3529.41,143,25,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"722","722",1901.96,1811.11,77,90,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"405","405",2207.50,3553.19,144,21,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"474","474",2284.09,2439.02,114,49,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"508","508",2269.75,3275.00,128,35,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"574","574",1951.22,3388.96,139,23,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"552","552",2857.14,3175.05,105,56,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"573","573",2338.75,2926.83,112,49,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"543","543",2016.13,1557.45,134,26,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"485","485",2297.76,2304.85,84,76,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"359","359",1820.63,1394.74,132,27,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"455","455",2443.61,5175.08,120,38,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"470","470",2444.75,3526.59,81,76,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"401","401",1735.70,2842.86,114,42,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"452","452",2140.10,2562.41,138,17,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"411","411",2187.50,3046.91,103,52,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"420","420",2416.67,3235.09,129,26,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"598","598",2580.07,2953.37,122,32,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"562","562",2621.35,2096.77,113,41,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"523","523",1769.28,3246.14,119,35,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"439","439",1936.82,2113.75,143,9,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"466","466",3050.12,3123.61,126,26,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"539","539",2272.73,2788.43,105,46,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"537","537",2400.00,3106.22,125,26,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"374","374",1724.14,2844.83,135,15,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"376","376",2484.28,2718.33,125,24,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"624","624",2402.44,3571.43,113,36,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"364","364",2095.42,2072.38,140,8,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"480","480",2011.63,3011.05,133,14,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"495","495",2580.65,3618.41,119,28,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"396","396",2200.00,1738.10,109,37,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"521","521",2488.16,1912.76,86,60,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"578","578",2556.53,2230.78,78,68,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"412","412",2161.17,1676.47,134,11,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
